Income,Age,Experience,Married/Single,House_Ownership,Car_Ownership,CURRENT_JOB_YRS,CURRENT_HOUSE_YRS,Risk_Flag
1578598,50,11,single,rented,no,11,11,1
1604428,66,20,single,rented,no,12,14,1
414060,64,16,single,norent_noown,no,14,11,1
8079960,53,2,single,rented,no,2,10,1
5915580,68,20,single,rented,no,7,10,1
2902285,77,19,single,rented,no,11,10,1
7563306,55,15,single,rented,no,12,12,1
9368529,59,7,single,rented,no,7,10,1
1139981,60,12,single,rented,no,12,12,1
340075,45,0,single,rented,no,0,13,1
1066119,69,16,single,rented,yes,12,11,1
2940425,77,16,single,rented,yes,7,10,1
6963246,35,16,single,rented,no,14,12,1
5965932,74,3,single,rented,no,3,13,1
6120219,25,8,single,rented,no,3,13,1
2926477,78,19,single,rented,no,3,10,1
6800688,78,5,single,rented,no,5,14,1
9756211,45,8,single,rented,yes,8,10,1
9407809,66,3,single,rented,no,3,13,1
6002096,32,14,single,rented,no,3,13,1
4145727,27,11,single,rented,no,6,12,1
6201762,46,1,single,rented,no,1,10,1
4510519,73,3,single,owned,yes,3,10,1
8755938,42,20,single,rented,yes,14,13,1
6549582,31,7,single,rented,yes,7,11,1
4916345,73,8,single,rented,yes,8,12,1
5082664,41,12,single,rented,yes,5,12,1
3711307,22,20,single,rented,yes,10,12,1
4206929,73,8,single,rented,no,8,11,1
2024213,38,19,single,rented,no,8,14,1
1112644,23,16,single,rented,yes,6,10,1
5421595,45,4,single,rented,no,4,12,1
3306281,33,16,single,rented,no,8,12,1
3423478,76,9,single,rented,no,4,10,1
166480,36,8,single,rented,yes,8,11,1
4112102,46,15,single,rented,no,5,13,1
5812529,46,2,single,rented,yes,2,11,1
9422148,43,16,single,rented,yes,12,12,1
6239581,38,8,single,rented,yes,8,13,1
9044259,30,16,single,rented,no,3,11,1
5186187,76,2,single,rented,no,2,12,1
3470076,44,15,single,rented,no,11,12,1
960205,66,16,single,rented,no,7,11,1
1117930,79,15,single,rented,no,9,12,1
96503,40,13,single,rented,no,3,14,1
7529689,76,9,single,rented,no,4,10,1
5965136,36,15,single,rented,no,10,12,1
6550926,35,1,single,rented,no,1,11,1
5354560,58,13,single,rented,yes,5,13,1
5608121,52,7,single,rented,no,7,14,1
4642438,55,13,single,rented,no,13,14,1
8419826,31,0,single,rented,no,0,14,1
3734522,47,1,single,rented,no,1,10,1
2018913,68,7,single,rented,yes,7,13,1
8976828,58,10,single,rented,yes,10,14,1
8030284,65,6,single,rented,no,6,12,1
5238806,65,3,single,rented,no,3,12,1
6794531,68,20,single,rented,no,14,10,1
972554,54,13,single,rented,yes,13,12,1
9211842,61,16,single,rented,no,11,11,1
8057748,46,6,single,rented,yes,4,11,1
8371842,66,15,single,owned,no,4,11,1
2157311,78,14,single,rented,no,6,12,1
7198404,29,19,single,owned,yes,6,14,1
422892,59,7,single,rented,yes,7,10,1
7098273,67,10,single,rented,no,3,12,1
9455042,33,20,single,rented,no,10,12,1
8745080,55,18,single,rented,yes,4,13,1
9789626,21,20,single,rented,no,4,13,1
2453112,34,6,single,rented,no,6,14,1
9253093,54,2,single,rented,yes,2,12,1
1538951,73,9,single,rented,yes,9,10,1
1783274,34,8,single,owned,no,7,12,1
7794515,51,2,single,rented,no,2,11,1
3152333,61,11,single,norent_noown,yes,7,14,1
4559022,63,5,single,rented,yes,5,11,1
1714140,27,10,single,rented,yes,10,10,1
6381899,68,7,single,rented,yes,4,13,1
2357771,59,1,single,rented,yes,1,12,1
2215191,76,10,single,rented,no,10,11,1
8036025,23,8,single,rented,no,4,14,1
9270608,79,14,single,rented,no,4,12,1
5867312,43,1,single,owned,no,1,13,1
6810655,30,11,single,rented,no,10,12,1
4574793,32,20,single,rented,no,6,11,1
5823407,68,8,single,rented,no,8,14,1
8143512,31,7,single,rented,no,6,14,1
5827839,43,1,single,rented,no,1,10,1
7253442,24,17,single,rented,no,8,10,1
5713579,53,14,single,rented,no,10,11,1
8854489,36,18,single,rented,no,13,14,1
2397672,70,6,single,rented,no,6,11,1
3745099,27,10,single,rented,no,10,11,1
3090546,54,9,single,rented,no,5,12,1
2206541,52,10,single,owned,no,10,10,1
6092943,60,10,single,rented,no,10,11,1
4248868,79,11,single,rented,no,11,13,1
8476201,55,1,single,rented,no,1,11,1
6250439,65,14,single,rented,yes,10,14,1
826478,33,15,single,rented,no,13,11,1
4069436,67,6,single,rented,yes,5,13,1
4389360,42,20,single,rented,yes,11,10,1
7714522,37,0,single,rented,yes,0,10,1
3711494,63,6,single,rented,yes,6,14,1
9187149,79,1,single,rented,yes,1,13,1
2301024,51,11,single,rented,yes,7,11,1
4627494,55,14,single,rented,no,7,11,1
3006135,59,18,single,rented,no,6,10,1
6329094,26,17,single,rented,no,12,11,1
8596569,69,0,single,rented,no,0,13,1
2607516,76,5,single,rented,yes,5,11,1
1043413,33,16,single,rented,no,8,13,1
7716276,50,16,single,rented,no,13,12,1
9427951,24,11,single,rented,no,8,12,1
9052853,52,15,single,rented,yes,12,11,1
1923707,40,16,single,rented,no,4,12,1
6073350,68,5,single,rented,no,5,14,1
3315306,66,14,single,rented,yes,3,11,1
1591082,66,3,single,rented,no,3,11,1
1857595,26,19,single,rented,no,12,13,1
8151369,67,11,single,rented,no,6,12,1
6380792,51,12,single,rented,no,12,13,1
3758841,76,8,single,rented,no,8,13,1
1514602,71,6,single,rented,no,6,13,1
5613340,59,17,single,rented,no,14,11,1
7146402,23,20,single,rented,no,4,14,1
7442529,57,6,single,rented,yes,5,10,1
8605005,31,20,single,rented,no,5,14,1
9639313,38,4,single,rented,yes,4,14,1
3142984,22,13,single,rented,no,10,12,1
1621150,48,10,single,rented,yes,9,10,1
9678663,46,0,single,rented,no,0,12,1
6641682,42,0,single,rented,no,0,10,1
1661569,32,12,single,rented,no,5,13,1
2909502,27,18,single,rented,no,4,11,1
9645128,26,2,single,rented,no,2,11,1
6107468,21,16,single,rented,no,13,14,1
424512,60,16,single,rented,no,5,11,1
5663883,37,4,single,rented,no,4,11,1
3412117,76,3,single,rented,yes,3,14,1
2926190,71,0,single,rented,no,0,14,1
7310061,37,10,single,rented,no,6,11,1
9299383,56,15,single,rented,no,8,12,1
9807280,37,0,single,rented,no,0,13,1
3648949,65,6,single,rented,yes,6,11,1
2564409,29,13,single,rented,yes,7,12,1
8026974,23,20,single,rented,yes,11,12,1
3205080,47,10,single,rented,no,10,13,1
6207088,35,16,single,rented,no,13,13,1
4536448,43,18,single,norent_noown,no,6,14,1
4727668,62,20,single,rented,yes,7,10,1
2946448,63,0,single,rented,no,0,13,1
2803101,25,10,single,rented,no,10,14,1
911309,69,12,single,rented,no,9,13,1
2282442,47,4,single,rented,yes,4,13,1
7058931,40,10,single,rented,no,10,13,1
7710784,61,19,single,rented,yes,3,10,1
156145,69,7,single,rented,yes,7,13,1
5131419,26,2,single,rented,no,2,10,1
9766082,28,9,single,rented,no,3,14,1
7503751,27,17,single,rented,no,8,14,1
9434255,52,12,single,rented,no,12,12,1
9578850,57,13,single,rented,no,11,11,1
1678997,47,20,single,rented,no,12,13,1
7761009,38,3,single,rented,no,3,12,1
5671193,30,20,single,rented,no,11,14,1
4772948,46,17,single,rented,no,11,14,1
8925245,63,0,single,rented,no,0,10,1
5604484,51,14,single,rented,no,4,13,1
3779002,57,8,single,rented,no,8,14,1
3430788,63,3,single,rented,no,3,10,1
279241,41,0,single,rented,yes,0,14,1
4828749,28,15,single,rented,no,5,11,1
660630,70,1,single,rented,yes,1,10,1
554517,21,7,single,rented,no,5,13,1
5022180,57,2,single,rented,no,2,11,1
7600998,66,8,single,rented,yes,8,13,1
9451139,22,17,single,rented,no,14,14,1
2421681,33,8,single,rented,yes,4,13,1
7210569,54,17,single,rented,no,10,11,1
2568258,67,5,single,rented,yes,5,11,1
3048347,36,17,single,rented,no,14,13,1
9464294,42,9,single,rented,no,5,10,1
553772,38,19,single,rented,yes,9,14,1
140516,29,19,single,rented,no,14,10,1
4499377,48,11,single,rented,no,11,12,1
2045156,35,9,single,rented,yes,9,13,1
8177616,33,9,single,rented,no,9,13,1
6036428,34,7,single,rented,yes,6,10,1
8450190,26,6,single,rented,no,6,10,1
5180835,22,1,single,rented,no,1,10,1
3737014,47,7,single,rented,no,7,14,1
7571977,75,5,single,rented,yes,5,13,1
9717828,22,13,single,rented,yes,10,14,1
98356,50,4,single,rented,yes,4,13,1
9768762,66,1,single,rented,no,1,13,1
8442518,71,6,single,rented,yes,6,11,1
5683509,62,19,single,rented,no,4,14,1
3238461,35,16,single,rented,no,8,13,1
5522087,58,4,single,rented,yes,4,13,1
2280615,74,1,single,norent_noown,no,1,14,1
978225,72,0,single,rented,yes,0,13,1
8818909,41,6,single,rented,yes,3,13,1
8653449,66,0,single,rented,no,0,13,1
3578378,41,9,single,rented,yes,9,10,1
1932556,56,15,single,rented,no,4,13,1
6943697,37,14,single,rented,no,3,12,1
5184758,55,7,single,rented,no,7,11,1
4399912,29,9,single,rented,no,9,10,1
1556371,39,11,single,rented,no,8,13,1
8593281,22,19,single,rented,no,11,11,1
4276227,31,11,single,rented,no,11,13,1
1565345,37,5,single,rented,no,4,14,1
9537662,44,19,single,rented,no,14,12,1
7100378,60,18,single,owned,no,11,11,1
7488205,60,9,single,rented,no,9,10,1
3640092,65,2,single,rented,yes,2,12,1
8217682,67,10,single,norent_noown,yes,10,10,1
291209,58,4,single,rented,yes,4,14,1
5832406,24,4,single,rented,yes,4,12,1
9218490,63,12,single,rented,yes,10,13,1
700444,24,0,single,rented,no,0,11,1
9700230,55,20,single,rented,no,8,13,1
4872825,76,6,single,rented,yes,6,10,1
1047915,23,4,single,rented,yes,4,11,1
8597260,56,20,single,rented,yes,6,14,1
5924444,33,1,single,rented,no,1,12,1
1743237,66,0,single,rented,no,0,14,1
116617,62,15,single,rented,no,14,11,1
7134942,28,20,single,rented,yes,11,10,1
1100548,49,3,single,rented,yes,3,10,1
7720372,72,6,single,rented,yes,6,11,1
7756519,56,4,single,rented,no,4,14,1
9345198,49,9,single,rented,no,9,11,1
2716181,76,8,single,rented,no,8,11,1
779324,45,20,single,rented,no,4,10,1
1079145,66,16,single,rented,yes,9,13,1
2362103,56,2,single,rented,no,2,11,1
4514928,28,20,single,rented,yes,5,11,1
9775346,48,6,single,rented,no,6,10,1
974748,42,6,single,rented,no,6,11,1
7757778,78,17,single,rented,no,12,12,1
1038909,58,19,single,rented,yes,4,11,1
151700,33,20,single,rented,no,6,13,1
1067890,41,14,single,rented,yes,3,12,1
4489952,66,5,single,owned,no,5,11,1
7530512,65,12,single,rented,no,10,12,1
1950853,54,6,single,rented,no,6,14,1
5792043,71,6,single,norent_noown,yes,6,11,1
2297128,30,6,single,rented,yes,6,13,1
3802714,71,16,single,rented,no,8,13,1
4977653,54,17,single,rented,yes,13,11,1
335003,75,11,single,norent_noown,no,11,13,1
4816071,63,17,single,rented,no,13,14,1
3672369,60,12,single,rented,no,6,12,1
1336270,66,19,single,rented,no,8,12,1
6525200,55,11,single,rented,yes,6,14,1
1053988,73,6,single,owned,no,6,13,1
9803522,55,14,single,rented,no,14,11,1
7770680,38,10,single,rented,no,10,12,1
6798686,31,9,single,owned,no,9,10,1
2229331,79,6,single,rented,yes,6,11,1
4041403,47,19,single,rented,yes,13,14,1
718057,59,19,single,rented,no,4,11,1
8053436,42,8,single,rented,no,8,11,1
228131,30,5,single,rented,no,5,12,1
600473,24,11,single,rented,no,6,14,1
973794,69,16,single,rented,yes,8,14,1
5465804,32,10,single,rented,yes,6,12,1
7908473,66,0,single,rented,no,0,10,1
4305317,75,6,single,rented,no,6,12,1
3038020,30,15,single,rented,yes,4,10,1
75855,33,17,single,rented,no,12,11,1
3130971,43,16,single,rented,yes,13,11,1
3453372,47,2,single,rented,no,2,10,1
9038552,76,7,single,rented,yes,4,14,1
448452,22,7,single,rented,no,6,13,1
5300443,71,8,single,rented,yes,7,13,1
5994323,55,10,single,rented,yes,10,10,1
147581,74,18,single,norent_noown,no,9,11,1
140981,36,17,single,rented,yes,9,12,1
289113,40,5,single,rented,yes,5,12,1
2593784,66,1,single,rented,yes,1,11,1
8909724,71,4,single,rented,no,4,11,1
4423589,33,19,single,rented,no,8,12,1
8215558,43,1,single,rented,yes,1,13,1
9290267,54,4,single,rented,yes,4,14,1
4742685,38,2,single,rented,yes,2,12,1
8593318,75,20,single,owned,no,7,13,1
4778152,42,13,single,rented,no,3,12,1
8785845,69,8,single,rented,no,6,14,1
3123209,53,16,single,rented,yes,3,10,1
7013255,75,10,single,owned,yes,10,11,1
8527776,54,2,single,rented,no,2,11,1
8981043,57,8,single,rented,yes,8,12,1
4012270,39,7,single,rented,yes,7,10,1
1369446,59,3,single,rented,no,3,11,1
7186684,55,3,single,rented,yes,3,12,1
2147176,45,5,single,owned,no,5,14,1
9275320,28,12,single,rented,no,3,13,1
7574572,78,5,single,rented,no,5,10,1
7644982,24,1,single,rented,no,1,11,1
3478374,74,5,single,rented,no,5,10,1
2421544,46,17,single,rented,no,6,13,1
6284000,32,3,single,rented,no,3,11,1
4516990,69,9,single,rented,no,9,11,1
7961712,41,10,single,rented,no,10,14,1
3685028,32,13,single,rented,no,6,11,1
7018599,53,0,single,rented,no,0,13,1
5509700,37,0,single,rented,no,0,13,1
1045513,40,2,single,norent_noown,no,2,14,1
8141088,22,1,single,rented,no,1,12,1
8259158,79,14,single,rented,no,13,10,1
332177,70,20,single,rented,no,7,13,1
9961539,41,8,single,owned,yes,8,10,1
1929764,45,5,single,rented,no,3,12,1
265272,75,20,single,rented,no,6,14,1
1923313,71,5,single,rented,no,3,10,1
469269,65,7,single,rented,no,3,12,1
8514407,43,1,single,rented,no,1,13,1
6733582,24,3,single,rented,no,3,10,1
8424956,57,12,single,rented,no,12,10,1
6547688,27,5,single,rented,yes,4,12,1
1216848,60,9,single,rented,no,9,12,1
3092529,49,1,single,rented,no,1,10,1
555482,32,12,single,rented,no,9,11,1
9979065,49,8,single,rented,yes,8,13,1
7970733,26,7,single,rented,yes,7,13,1
2499276,21,0,single,rented,no,0,12,1
1085302,69,4,single,rented,no,4,10,1
9109752,69,16,single,rented,yes,7,13,1
5314430,32,11,single,rented,no,5,12,1
681686,71,18,single,rented,no,13,10,1
291391,33,8,single,rented,no,6,13,1
9749313,72,17,single,rented,yes,14,11,1
882249,36,14,single,owned,no,12,13,1
998868,44,16,single,rented,no,5,13,1
3700179,75,15,single,rented,no,10,11,1
90178,76,9,single,rented,no,9,11,1
4977116,25,7,single,rented,yes,7,10,1
4432896,29,14,single,rented,no,13,14,1
4763378,70,6,single,rented,yes,6,14,1
2974289,22,3,single,rented,no,3,13,1
7203886,40,14,single,owned,yes,13,10,1
6068842,29,6,single,rented,no,6,14,1
7218867,43,16,single,rented,no,8,14,1
1872336,28,3,single,rented,yes,3,12,1
229131,76,10,single,rented,no,10,13,1
7458144,26,13,single,rented,yes,7,11,1
4939158,65,12,single,rented,no,7,14,1
8021921,73,4,single,rented,no,4,10,1
5279919,38,19,single,owned,no,3,10,1
8535775,33,18,single,rented,no,5,13,1
1589605,46,13,single,rented,no,9,10,1
270761,48,1,single,rented,no,1,11,1
2295066,76,12,single,rented,no,7,13,1
1085710,72,12,single,rented,no,9,10,1
3855594,39,10,single,rented,yes,10,13,1
6101750,64,4,single,rented,yes,4,11,1
1114427,73,9,single,rented,yes,9,13,1
9750930,31,3,single,rented,yes,3,10,1
9872943,78,16,single,owned,no,14,13,1
110437,41,8,single,rented,no,8,12,1
7665233,79,10,single,rented,no,3,12,1
8453618,47,4,single,rented,no,4,12,1
6588127,76,5,single,rented,no,5,10,1
2218088,35,9,single,rented,no,5,11,1
6123115,27,16,single,rented,no,10,11,1
6010140,75,15,single,rented,yes,9,10,1
6814296,37,16,single,rented,no,8,11,1
1847709,44,3,single,rented,yes,3,12,1
1225686,65,9,single,rented,no,5,13,1
3115639,35,14,single,rented,yes,14,10,1
9250350,42,9,single,rented,no,4,10,1
4476997,27,15,single,rented,no,7,13,1
1171428,45,11,single,rented,yes,5,11,1
2628971,30,19,single,rented,no,7,14,1
4613553,27,13,single,owned,no,13,10,1
1360053,47,9,single,rented,no,4,11,1
431500,51,10,single,rented,yes,10,11,1
1363933,45,14,single,rented,yes,4,10,1
72998,51,16,single,rented,no,13,13,1
7428357,38,13,single,rented,yes,9,12,1
7060043,79,17,single,rented,no,13,12,1
1612818,79,10,single,rented,no,10,11,1
2467224,35,3,single,rented,no,3,11,1
8059284,72,1,single,rented,yes,1,13,1
4783607,67,19,single,rented,no,7,13,1
3188212,61,14,single,rented,no,10,12,1
3290138,36,13,single,rented,no,8,12,1
9945173,62,4,single,rented,no,4,10,1
5190632,59,6,single,rented,no,6,10,1
1435004,50,2,single,rented,yes,2,14,1
2687545,60,3,single,rented,yes,3,11,1
5013716,29,17,single,rented,no,10,11,1
6467283,65,13,single,rented,yes,11,12,1
2802877,70,14,single,rented,no,10,11,1
1657435,36,7,single,rented,yes,7,13,1
739809,55,4,single,rented,no,4,12,1
601404,47,20,single,rented,no,8,10,1
2844373,28,3,single,rented,no,3,11,1
8497267,65,6,single,rented,no,6,12,1
2740967,63,5,single,rented,no,5,13,1
3370529,54,10,single,rented,yes,10,12,1
5642075,53,8,single,rented,no,8,14,1
2831745,51,16,single,owned,no,8,13,1
6432481,72,3,single,rented,yes,3,13,1
1818040,54,1,single,rented,no,1,14,1
4002405,68,6,single,rented,no,3,13,1
8830734,55,8,single,rented,yes,8,12,1
1127903,74,15,single,rented,yes,3,12,1
9232506,75,2,single,rented,no,2,11,1
2318739,59,4,single,rented,no,4,14,1
413811,78,6,single,rented,yes,6,11,1
3632441,66,2,single,rented,yes,2,13,1
6134981,49,2,single,rented,yes,2,10,1
5618096,65,15,single,rented,yes,12,11,1
455805,72,0,single,rented,no,0,12,1
4145448,50,4,single,rented,no,4,12,1
5971936,24,1,single,rented,no,1,10,1
2974371,33,8,single,rented,yes,8,12,1
2755203,64,15,single,rented,no,11,12,1
8145267,76,11,single,rented,yes,6,14,1
3512152,35,3,single,norent_noown,yes,3,13,1
3994234,72,18,single,rented,no,4,13,1
2504515,51,14,single,rented,yes,7,12,1
4094948,49,3,single,rented,yes,3,12,1
2143718,25,0,single,norent_noown,yes,0,10,1
794175,52,1,single,rented,no,1,12,1
3350415,29,9,single,rented,no,6,12,1
3424035,24,2,single,rented,no,2,14,1
2162632,76,7,single,rented,yes,7,10,1
8149390,78,1,single,rented,no,1,11,1
9254969,75,7,single,rented,no,7,10,1
5842579,63,15,single,rented,no,14,13,1
2859480,30,14,single,owned,no,10,12,1
7059529,63,8,single,rented,yes,8,13,1
7583518,28,4,single,rented,no,4,11,1
4560641,72,7,single,rented,no,7,13,1
827855,41,15,single,rented,no,8,13,1
9153316,31,6,single,rented,no,6,12,1
2018172,73,15,single,rented,no,3,12,1
6472266,21,2,single,rented,yes,2,11,1
9867211,56,2,single,rented,no,2,14,1
3373735,44,4,single,rented,yes,4,13,1
1171826,44,8,single,rented,no,8,11,1
4190150,31,4,single,rented,no,4,12,1
5737594,26,11,single,rented,no,10,12,1
915146,50,4,single,owned,no,4,13,1
5618577,52,8,single,owned,no,4,13,1
9819070,25,11,single,rented,no,6,10,1
6671351,28,14,single,rented,no,13,12,1
8753453,52,14,single,rented,no,7,11,1
1298318,30,1,single,rented,yes,1,12,1
5126123,41,1,single,rented,no,1,12,1
1576494,36,5,single,rented,yes,5,14,1
7872203,73,16,single,rented,no,11,11,1
9558008,49,1,single,rented,no,1,11,1
3154685,27,1,single,rented,no,1,12,1
670260,70,16,single,rented,no,14,14,1
1131868,46,10,single,rented,no,10,12,1
357702,76,6,single,owned,no,3,13,1
6596959,40,5,single,rented,yes,5,14,1
4816881,59,19,single,rented,no,11,10,1
2065698,24,10,single,rented,yes,5,11,1
8897257,65,12,single,rented,no,5,14,1
9760129,44,12,single,norent_noown,no,11,10,1
4080051,57,11,single,rented,yes,4,14,1
8732919,54,18,single,rented,no,5,13,1
5073397,41,9,single,rented,no,4,12,1
7134787,63,15,single,rented,no,12,12,1
9241052,69,2,single,rented,yes,2,13,1
5091752,66,2,single,rented,no,2,11,1
1969104,28,9,single,rented,no,7,14,1
6940796,46,17,single,rented,no,9,11,1
2713971,74,2,single,rented,yes,2,12,1
7864739,61,10,single,rented,no,5,11,1
21831,26,14,single,rented,yes,5,10,1
7757947,62,5,single,rented,no,4,13,1
6815932,77,6,single,rented,yes,6,14,1
4940114,43,8,single,rented,no,8,10,1
9173092,30,19,single,rented,no,9,11,1
7851638,51,9,single,rented,no,9,12,1
9181312,31,5,single,rented,no,5,13,1
9775983,65,6,single,rented,no,6,12,1
2499018,24,15,single,rented,no,8,13,1
8342442,30,17,single,rented,no,11,10,1
9433222,48,14,single,rented,yes,10,11,1
4990273,58,2,single,rented,no,2,14,1
2570723,45,15,single,rented,no,6,12,1
429827,35,2,single,rented,no,2,14,1
74741,59,14,single,rented,yes,6,11,1
2474838,64,9,single,rented,no,8,10,1
5510769,41,19,single,rented,yes,8,12,1
5125951,56,10,single,rented,yes,7,13,1
2541624,32,15,single,rented,no,3,12,1
4032575,50,8,single,rented,no,8,11,1
5305177,23,17,single,rented,no,9,11,1
2503612,25,18,single,rented,no,6,11,1
5388842,79,4,single,rented,no,4,12,1
2582117,54,11,single,rented,yes,3,14,1
80603,58,12,single,rented,yes,12,13,1
3593774,57,11,single,rented,no,11,11,1
7347926,66,7,single,rented,no,6,12,1
3327853,51,10,single,rented,yes,3,12,1
8800769,29,4,single,rented,no,4,12,1
7769983,61,19,single,rented,no,8,14,1
1662818,64,18,single,rented,no,9,11,1
8075181,21,12,single,rented,no,7,14,1
7248241,63,12,single,rented,no,4,14,1
4697227,53,5,single,rented,no,5,13,1
3026361,37,18,single,owned,yes,13,10,1
4329497,66,2,single,rented,no,2,11,1
7695399,49,6,single,rented,yes,6,11,1
6733662,60,20,single,rented,no,12,11,1
8047392,61,2,single,rented,no,2,14,1
3285395,72,19,single,rented,no,13,12,1
4536029,24,20,single,rented,no,8,14,1
7947428,33,17,single,rented,no,7,13,1
3612614,62,15,single,rented,no,14,14,1
3411984,31,12,single,owned,no,4,12,1
3781553,56,16,single,rented,no,11,14,1
4251239,79,2,single,rented,no,2,14,1
6045469,63,7,single,rented,no,7,10,1
2800327,50,6,single,rented,yes,6,10,1
4141656,27,20,single,rented,no,12,14,1
6035837,34,13,single,rented,no,11,11,1
7974415,42,5,single,norent_noown,no,5,13,1
8022038,33,9,single,rented,no,9,13,1
1821438,26,0,single,rented,yes,0,12,1
9849899,39,8,single,rented,no,5,13,1
7816158,44,8,single,rented,no,8,13,1
3602416,48,3,single,rented,no,3,13,1
9088666,45,11,single,rented,no,11,12,1
4316721,78,15,single,rented,no,14,12,1
3873393,21,7,single,rented,yes,7,14,1
3440491,67,3,single,rented,no,3,12,1
9576816,45,5,single,rented,no,5,14,1
1072440,29,15,single,rented,no,6,12,1
6911248,32,19,single,rented,no,11,14,1
974413,35,1,single,rented,no,1,14,1
6973369,68,20,single,rented,no,11,13,1
4461655,35,9,single,rented,yes,9,14,1
250306,23,15,single,rented,no,10,14,1
7564019,38,19,single,rented,yes,13,14,1
8135531,60,10,single,owned,no,4,11,1
6475126,48,14,single,rented,no,11,12,1
6569934,72,9,single,rented,yes,3,14,1
6503458,55,17,single,rented,no,9,13,1
668849,74,15,single,rented,no,13,11,1
6548997,46,11,single,rented,no,4,14,1
9390257,55,4,single,rented,yes,4,10,1
6101291,45,0,single,rented,no,0,13,1
